Date,Open,High,Low,Close,Adj Close,Volume
"Mar 04, 2016",6130.5,6204.1,6130.5,6199.4,6199.4,866051300
"Mar 03, 2016",6147.1,6173.7,6108.4,6130.5,6130.5,902840400
"Mar 02, 2016",6152.9,6194,6097.8,6147.1,6147.1,904552300
"Mar 01, 2016",6097.1,6153.8,6070.5,6152.9,6152.9,933626200
"Feb 29, 2016",6096,6105,6033.2,6097.1,6097.1,941705500
"Feb 26, 2016",6012.8,6115.4,6012.8,6096,6096,858937600
"Feb 25, 2016",5867.2,6029,5867.2,6012.8,6012.8,999956900
"Feb 24, 2016",5962.3,5966.7,5845.6,5867.2,5867.2,834682500
"Feb 23, 2016",6037.7,6037.7,5954.2,5962.3,5962.3,747386200
"Feb 22, 2016",5950.2,6065.8,5950.2,6037.7,6037.7,822107000
"Feb 19, 2016",5972,6001.2,5916.3,5950.2,5950.2,692901300
"Feb 18, 2016",6030.3,6036.5,5948.3,5972,5972,809867000
"Feb 17, 2016",5862.2,6030.3,5862.2,6030.3,6030.3,948753000
"Feb 16, 2016",5824.3,5880.7,5812.5,5862.2,5862.2,771095900
"Feb 15, 2016",5707.6,5844.5,5707.6,5824.3,5824.3,724655800
"Feb 12, 2016",5537,5707.6,5537,5707.6,5707.6,1083597100
"Feb 11, 2016",5672.3,5672.3,5499.5,5537,5537,1068310100
"Feb 10, 2016",5632.2,5712.8,5616.9,5672.3,5672.3,994634100
"Feb 09, 2016",5689.4,5739.3,5596.3,5632.2,5632.2,1146904600
"Feb 08, 2016",5848.1,5882.4,5666.1,5689.4,5689.4,995838800
"Feb 05, 2016",5898.8,5945.9,5839.4,5848.1,5848.1,954158300
"Feb 04, 2016",5837.1,5938.1,5831.1,5898.8,5898.8,1021666600
"Feb 03, 2016",5922,5924.6,5791,5837.1,5837.1,996202200
"Feb 02, 2016",6060.1,6060.5,5889.6,5922,5922,986962800
"Feb 01, 2016",6083.8,6115.1,5993.8,6060.1,6060.1,808643200
"Jan 29, 2016",5931.8,6083.8,5931.8,6083.8,6083.8,988153400
"Jan 28, 2016",5990.4,6020.5,5889.4,5931.8,5931.8,892436800
"Jan 27, 2016",5911.5,5990.4,5870.8,5990.4,5990.4,875026000
"Jan 26, 2016",5877,5919.2,5771.4,5911.5,5911.5,852296000
"Jan 25, 2016",5900,5933.5,5851.8,5877,5877,803777200
"Jan 22, 2016",5773.8,5926.9,5773.8,5900,5900,879968100
"Jan 21, 2016",5673.6,5781.2,5659.2,5773.8,5773.8,1089335700
"Jan 20, 2016",5876.8,5876.8,5639.9,5673.6,5673.6,1035052400
"Jan 19, 2016",5779.9,5915.7,5779.9,5876.8,5876.8,808697900
"Jan 18, 2016",5804.1,5852.1,5766.5,5779.9,5779.9,718879400
"Jan 15, 2016",5918.2,5934.6,5769.2,5804.1,5804.1,1084338100
"Jan 14, 2016",5961,5961,5829.3,5918.2,5918.2,1067078800
"Jan 13, 2016",5929.2,6011.1,5929.2,5961,5961,809502200
"Jan 12, 2016",5871.8,5985.8,5866.7,5929.2,5929.2,806737100
"Jan 11, 2016",5912.4,5941.9,5871.8,5871.8,5871.8,817313600
"Jan 08, 2016",5954.1,6013.4,5912.4,5912.4,5912.4,809964200
"Jan 07, 2016",6073.4,6073.4,5888,5954.1,5954.1,1054315500
"Jan 06, 2016",6137.2,6137.2,6018.7,6073.4,6073.4,699957700
"Jan 05, 2016",6093.4,6166.3,6079.2,6137.2,6137.2,624070800
"Jan 04, 2016",6242.3,6242.3,6071,6093.4,6093.4,686232700
"Dec 30, 2015",6314.6,6314.6,6261.5,6274.1,6274.1,327817500
"Dec 29, 2015",6254.6,6314.6,6245.2,6314.6,6314.6,448441700
